CODE;LOCATIONNAME;PRICE;AREA;ROOMNUMBER;BATHNUMBER;STATUS;STUDIO;ISPENTHOUSE;DUPLEX;SWIMMINGPOOL;ELEVATOR
6,60686E+18;El Viso;1781660;283;4;3;Second hand / Good state;0;1;1;0;1
9,22337E+18;Adelfas;287764;72;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Rosas;290195;94;2;2;Second hand / Good state;0;0;0;1;1
6,07403E+18;Palomeras Bajas;103587;68;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;San Diego;91271;96;0;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Casa de Campo;395722;104;3;2;Second hand / Needs reformation;0;0;0;0;1
5,54119E+18;Lavapies-Embajadores;242771;47;1;1;Second hand / Good state;0;0;0;0;0
6,8313E+18;Tres Olivos - Valverde;135378;82;3;1;Second hand / Needs reformation;0;0;0;0;0
4,72853E+18;Aguilas;151390;91;3;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Almendrales;80880;42;1;1;Second hand / Good state;0;0;0;0;0
6,08464E+18;San Juan Bautista;562197;113;3;2;Second hand / Good state;0;0;0;1;1
3,0727E+18;Valdemaran;533226;158;3;3;Second hand / Unknown;0;0;1;1;1
9,22337E+18;Opanel;123105;110;3;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Cuzco-Castillejos;1296580;251;1;2;Second hand / Good state;0;0;0;1;1
5,29106E+18;Gaztambide;335092;73;1;1;Second hand / Good state;0;1;0;0;1
9,22337E+18;San Juan Bautista;1084048;250;3;2;Second hand / Good state;0;1;1;1;1
9,22337E+18;Ciudad Jardin;184068;50;1;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Fontarran;148651;59;2;1;Second hand / Good state;0;0;0;0;0
3,31073E+18;Jeronimos;1928394;219;4;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Sanchinarro;759011;133;3;2;Second hand / Good state;0;1;0;1;1
8,76336E+17;Ciudad Universitaria;1990205;707;7;6;Second hand / Good state;0;1;1;1;1
9,22337E+18;Pacifico;174539;65;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Butarque;224425;117;3;2;Second hand / Unknown;0;0;0;1;1
8,3602E+18;Casco historico de Vallecas;133784;78;3;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Canillas;171863;51;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lavapies-Embajadores;222156;83;3;1;Second hand / Good state;0;0;0;0;1
7,93654E+18;Castellana;324492;83;4;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Penagrande;834146;153;3;2;New development;0;0;1;1;1
9,22337E+18;San Diego;132342;70;3;1;Second hand / Good state;0;0;0;0;0
4,52176E+18;Valdebebas - Valdefuentes;509888;145;4;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Pinar del Rey;226021;85;3;1;Second hand / Good state;0;0;0;0;1
5,10642E+18;Lista;1278696;168;3;3;Second hand / Good state;0;0;0;0;1
3,53934E+18;Pinar del Rey;245436;92;3;2;Second hand / Good state;0;0;0;0;0
9,22337E+18;Mirasierra;1273038;234;4;4;Second hand / Unknown;0;0;0;1;1
7,99328E+18;Gaztambide;367113;77;2;1;Second hand / Good state;0;0;0;0;1
7,51544E+18;Comillas;225488;108;3;2;Second hand / Good state;0;0;0;0;1
6,95499E+18;Almagro;1206824;171;3;2;Second hand / Good state;0;0;0;0;1
8,31744E+18;Montecarmelo;557456;141;3;2;New development;0;0;0;0;1
9,22337E+18;Ensanche de Vallecas - La Gavia;120214;74;0;1;Second hand / Good state;1;0;0;1;1
8,44881E+18;Cuatro Caminos;279785;74;1;1;Second hand / Good state;0;0;0;0;1
1,73503E+18;Lavapies-Embajadores;448949;80;3;2;Second hand / Good state;0;0;0;0;0
9,22337E+18;Arapiles;1453326;181;2;3;Second hand / Good state;0;0;0;0;1
9,22337E+18;Pueblo Nuevo;195604;63;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Buena Vista;99679;63;3;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Adelfas;404706;106;4;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Costillares;318159;62;2;2;Second hand / Good state;0;0;0;1;1
6,06918E+18;Ibiza;754484;123;3;2;Second hand / Good state;0;1;0;0;1
9,22337E+18;Timon;337093;94;2;2;New development;0;0;0;1;1
4,72695E+18;Puerta del Angel;67860;61;3;1;Second hand / Needs reformation;0;0;0;0;0
6,18554E+18;San Andres;99793;38;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Rosas;232173;87;3;2;Second hand / Unknown;0;0;0;0;1
9,22337E+18;Guindalera;712771;154;2;2;Second hand / Good state;0;0;0;1;1
4,3334E+18;Timon;257995;83;2;2;New development;0;0;0;1;1
6,05956E+17;Lavapies-Embajadores;240322;49;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Berruguete;261865;66;2;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Chueca-Justicia;1657063;256;4;4;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Delicias;251215;96;3;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Abrantes;177648;81;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Palos de Moguer;204579;51;2;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Valdezarza;206477;55;2;1;Second hand / Good state;0;0;0;0;1
4,11179E+18;Berruguete;134313;36;0;1;Second hand / Good state;1;0;0;0;0
2,2607E+18;Arapiles;1288562;269;3;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Rejas;204690;88;2;1;Second hand / Good state;0;1;0;0;1
3,65937E+18;Chueca-Justicia;317632;53;1;1;Second hand / Good state;0;0;0;0;0
2,42463E+18;Huertas-Cortes;306807;74;1;1;Second hand / Good state;0;0;1;0;0
9,22337E+18;Buena Vista;217004;98;3;2;New development;0;0;0;0;1
9,22337E+18;Atalaya;447802;101;3;2;Second hand / Good state;0;0;0;1;1
2,97958E+18;San Diego;148752;160;3;2;Second hand / Good state;0;0;0;0;0
2,31609E+18;Arguelles;259022;44;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lavapies-Embajadores;203454;57;1;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Pinar del Rey;169214;58;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Arguelles;848388;259;9;3;Second hand / Needs reformation;0;0;0;0;1
7,00754E+18;Nueva Espana;636005;136;2;1;Second hand / Good state;0;0;0;0;1
3,72562E+18;Lavapies-Embajadores;121929;21;1;1;Second hand / Good state;0;0;0;0;0
1,629E+18;Pacifico;432102;61;2;1;Second hand / Needs reformation;0;1;0;0;1
9,22337E+18;Lista;699960;111;2;2;Second hand / Good state;0;0;0;0;1
8,60003E+17;Recoletos;608584;86;2;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Costillares;196543;44;0;1;Second hand / Good state;1;0;0;1;1
9,22337E+18;Malasana-Universidad;382001;50;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Ventas;131155;80;2;1;Second hand / Needs reformation;0;0;0;0;0
1,40121E+18;Santa Eugenia;233181;115;3;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Cuzco-Castillejos;288453;78;3;1;Second hand / Good state;0;0;0;0;1
5,03783E+16;Cuatro Caminos;292203;80;3;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Lavapies-Embajadores;462779;95;3;2;New development;0;0;0;0;1
6,4507E+18;Costillares;1191812;269;5;5;Second hand / Good state;0;0;0;1;1
9,22337E+18;Valdeacederas;168189;54;2;1;Second hand / Good state;0;0;0;0;0
5,26732E+18;San Juan Bautista;764772;167;4;3;Second hand / Needs reformation;0;0;0;1;1
9,22337E+18;Legazpi;290781;66;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Cuatro Caminos;1325768;312;5;4;Second hand / Good state;0;0;0;0;1
6,98525E+18;Moscardo;283902;87;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;San Cristobal;63894;76;3;1;Second hand / Unknown;0;0;0;0;0
8,71156E+18;Vista Alegre;146262;71;3;1;Second hand / Good state;0;0;0;0;0
6,24207E+18;Buena Vista;143434;74;3;1;Second hand / Needs reformation;0;0;0;0;1
2,8309E+18;Pueblo Nuevo;234343;80;2;2;Second hand / Good state;0;0;0;0;1
2,41722E+17;Casco historico de Vallecas;120343;65;2;1;Second hand / Good state;0;0;0;0;0
3,71852E+18;Pueblo Nuevo;136273;76;3;1;Second hand / Needs reformation;0;0;0;0;0
3,97816E+18;Guindalera;291015;71;2;1;Second hand / Good state;0;0;0;0;0
1,9158E+17;Prosperidad;367561;69;2;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Trafalgar;374014;77;2;1;Second hand / Good state;0;0;0;0;1
1,91317E+18;Nueva Espana;892214;147;3;3;Second hand / Good state;0;0;0;0;1
1,49669E+18;Vinateros;175743;66;3;1;Second hand / Good state;0;0;0;0;1
8,74058E+18;Acacias;416111;91;2;2;Second hand / Good state;0;0;0;1;1
6,23731E+18;Moscardo;110067;148;4;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Canillas;227323;52;1;1;Second hand / Good state;0;0;0;0;0
7,42693E+17;Las Tablas;236177;64;1;1;Second hand / Good state;0;0;0;1;1
9,22337E+18;Guindalera;519070;153;5;2;Second hand / Good state;0;0;0;0;1
